location,density_km2,density_mi2,population,land_area_km2,land_area_mi2
World,55,140,8231613070,148940000,57510000
Macau(China),22000,57000,720262,33,13
Monaco,19000,49000,38631,2.1,0.81
Singapore,8120,21000,5832387,718,277
Hong Kong(China),7062,18290,7414910,1050,410
Gibraltar(UK),5800,15000,39329,6.8,2.6
Bahrain,2034,5270,1607049,790,310
Vatican City,1800,4700,882,0.49,0.19
Maldives,1759,4560,527799,300,120
Malta,1686,4370,539607,320,120
Bangladesh,1333,3450,173562364,130170,50260
Sint Maarten(NL),1275,3300,43351,34,13
Bermuda(UK),1197,3100,64637,54,21
Palestine,892,2310,5371230,6020,2320
Jersey(UK),891,2310,103387,116,45
Guernsey(UK),867,2250,67642,78,30
Barbados,657,1700,282468,430,170
Taiwan,656,1700,23213962,35410,13670
Mauritius,637,1650,1271169,1997,771
Aruba(NL),600,1600,108066,180,69
Nauru,597,1550,11947,20,7.7
Rwanda,578,1500,14256567,24670,9530
Lebanon,568,1470,5805962,10230,3950
Saint Barthelemy(France),563,1460,11258,20,7.7
San Marino,560,1500,33581,60,23
Burundi,547,1420,14047786,25680,9920
Netherlands,541,1400,18228742,33670,13000
South Korea,530,1400,51717590,97600,37700
Saint Martin(France),523,1350,26129,50,19
India,488,1260,1450935791,2973190,1147960
Comoros,466,1210,866628,1861,719
Israel,434,1120,9387021,21640,8360
Haiti,427,1110,11772557,27560,10640
Curaao(NL),418,1080,185482,444,171
Philippines,389,1010,115843670,298170,115120
Belgium,385,1000,11738764,30494,11774
Sri Lanka,373,970,23103565,61860,23880
Puerto Rico(US),366,950,3242204,8870,3420
Grenada,345,890,117208,340,130
Japan,340,880,123753041,364500,140700
Pakistan,326,840,251269164,770880,297640
Vietnam,322,830,100987687,313429,121016
Tuvalu,322,830,9646,30,12
Guam(US),311,810,167777,540,210
Cayman Islands(UK),310,800,74458,240,93
El Salvador,306,790,6338193,20720,8000
Saint Lucia,295,760,179744,610,240
Trinidad and Tobago,294,760,1507782,5130,1980
United Kingdom,286,740,69138192,241930,93410
Seychelles,284,740,130419,460,180
Kuwait,277,720,4934508,17820,6880
Gambia,273,710,2759988,10120,3910
Qatar,265,690,3048423,11490,4440
British Virgin Islands(UK),263,680,39471,150,58
Jamaica,262,680,2839175,10830,4180
Luxembourg,261,680,673036,2574.46,994
Saint Vincent and the Grenadines,258,670,100616,390,150
Nigeria,255,660,232679478,910770,351650
Tokelau(New Zealand),251,650,2507,10,3.9
Uganda,249,640,50015093,200520,77420
